Pk,Tm,Player
1,CLE,Kyrie Irving
2,MIN,Derrick Williams
3,UTA,Enes Kanter
4,CLE,Tristan Thompson
5,TOR,Jonas Valančiūnas
6,WAS,Jan Veselý
7,SAC,Bismack Biyombo
8,DET,Brandon Knight
9,CHA,Kemba Walker
10,MIL,Jimmer Fredette
11,GSW,Klay Thompson
12,UTA,Alec Burks
13,PHO,Markieff Morris
14,HOU,Marcus Morris
15,IND,Kawhi Leonard
16,PHI,Nikola Vučević
17,NYK,Iman Shumpert
18,WAS,Chris Singleton
19,CHA,Tobias Harris
20,MIN,Donatas Motiejūnas
21,POR,Nolan Smith
22,DEN,Kenneth Faried
23,HOU,Nikola Mirotić
24,OKC,Reggie Jackson
25,BOS,MarShon Brooks
26,DAL,Jordan Hamilton
27,NJN,JaJuan Johnson
28,CHI,Norris Cole
29,SAS,Cory Joseph
30,CHI,Jimmy Butler
31,MIA,Bojan Bogdanović
32,CLE,Justin Harper
33,DET,Kyle Singler
34,WAS,Shelvin Mack
35,SAC,Tyler Honeycutt
36,NJN,Jordan Williams
37,LAC,Trey Thompkins
38,HOU,Chandler Parsons
39,CHA,Jeremy Tyler
40,MIL,Jon Leuer
41,LAL,Darius Morris
42,IND,Dāvis Bertāns
43,CHI,Malcolm Lee
44,GSW,Charles Jenkins
45,NOH,Josh Harrellson
46,LAL,Andrew Goudelock
47,LAC,Travis Leslie
48,ATL,Keith Benson
49,MEM,Josh Selby
50,PHI,Lavoy Allen
51,POR,Jon Diebler
52,DET,Vernon Macklin
53,ORL,DeAndre Liggins
54,CLE,Milan Mačvan
55,BOS,E'Twaun Moore
56,LAL,Chukwudiebere Maduabum
57,DAL,Tanguy Ngombo
58,LAL,Ater Majok
59,SAS,Ádám Hanga
60,SAC,Isaiah Thomas
