Pk,Tm,Player
1,MIN,Karl-Anthony Towns
2,LAL,D'Angelo Russell
3,PHI,Jahlil Okafor
4,NYK,Kristaps Porziņģis
5,ORL,Mario Hezonja
6,SAC,Willie Cauley-Stein
7,DEN,Emmanuel Mudiay
8,DET,Stanley Johnson
9,CHO,Frank Kaminsky
10,MIA,Justise Winslow
11,IND,Myles Turner
12,UTA,Trey Lyles
13,PHO,Devin Booker
14,OKC,Cameron Payne
15,ATL,Kelly Oubre Jr.
16,BOS,Terry Rozier
17,MIL,Rashad Vaughn
18,HOU,Sam Dekker
19,WAS,Jerian Grant
20,TOR,Delon Wright
21,DAL,Justin Anderson
22,CHI,Bobby Portis
23,POR,Rondae Hollis-Jefferson
24,CLE,Tyus Jones
25,MEM,Jarell Martin
26,SAS,Nikola Milutinov
27,LAL,Larry Nance Jr.
28,BOS,R.J. Hunter
29,BRK,Chris McCullough
30,GSW,Kevon Looney
31,MIN,Cedi Osman
32,HOU,Montrezl Harrell
33,BOS,Jordan Mickey
34,LAL,Anthony Brown
35,PHI,Willy Hernangómez
36,MIN,Rakeem Christmas
37,PHI,Richaun Holmes
38,DET,Darrun Hilliard
39,CHO,Juan Pablo Vaulet
40,MIA,Josh Richardson
41,BRK,Pat Connaughton
42,UTA,Olivier Hanlan
43,IND,Joe Young
44,PHO,Andrew Harrison
45,BOS,Marcus Thornton
46,MIL,Norman Powell
47,PHI,Artūras Gudaitis
48,OKC,Dakari Johnson
49,WAS,Aaron White
50,ATL,Marcus Eriksson
51,ORL,Tyler Harvey
52,DAL,Satnam Singh
53,CLE,Sir'Dominic Pointer
54,UTA,Dani Díez
55,SAS,Cady Lalanne
56,NOP,Branden Dawson
57,DEN,Nikola Radičević
58,PHI,J.P. Tokoto
59,ATL,Dimitrios Agravanis
60,PHI,Luka Mitrović
