Pk,Tm,Player
1,PHO,Deandre Ayton
2,SAC,Marvin Bagley III
3,ATL,Luka Dončić
4,MEM,Jaren Jackson Jr.
5,DAL,Trae Young
6,ORL,Mo Bamba
7,CHI,Wendell Carter Jr.
8,CLE,Collin Sexton
9,NYK,Kevin Knox
10,PHI,Mikal Bridges
11,CHO,Shai Gilgeous-Alexander
12,LAC,Miles Bridges
13,LAC,Jerome Robinson
14,DEN,Michael Porter Jr.
15,WAS,Troy Brown Jr.
16,PHO,Zhaire Smith
17,MIL,Donte DiVincenzo
18,SAS,Lonnie Walker
19,ATL,Kevin Huerter
20,MIN,Josh Okogie
21,UTA,Grayson Allen
22,CHI,Chandler Hutchison
23,IND,Aaron Holiday
24,POR,Anfernee Simons
25,LAL,Moritz Wagner
26,PHI,Landry Shamet
27,BOS,Robert Williams
28,GSW,Jacob Evans
29,BRK,Džanan Musa
30,ATL,Omari Spellman
31,PHO,Elie Okobo
32,MEM,Jevon Carter
33,DAL,Jalen Brunson
34,ATL,Devonte' Graham
35,ORL,Melvin Frazier
36,NYK,Mitchell Robinson
37,SAC,Gary Trent Jr.
38,PHI,Khyri Thomas
39,PHI,Isaac Bonga
40,BRK,Rodions Kurucs
41,ORL,Jarred Vanderbilt
42,DET,Bruce Brown
43,DEN,Justin Jackson
44,WAS,Issuf Sanon
45,BRK,Hamidou Diallo
46,HOU,De'Anthony Melton
47,LAL,Sviatoslav Mykhailiuk
48,MIN,Keita Bates-Diop
49,SAS,Chimezie Metu
50,IND,Alize Johnson
51,NOP,Tony Carr
52,UTA,Vince Edwards
53,OKC,Devon Hall
54,DAL,Shake Milton
55,CHO,Arnoldas Kulboka
56,PHI,Ray Spalding
57,OKC,Kevin Hervey
58,DEN,Thomas Welsh
59,PHO,George King
60,PHI,Kostas Antetokounmpo
