Pk,Tm,Player
1,PHI,Markelle Fultz
2,LAL,Lonzo Ball
3,BOS,Jayson Tatum
4,PHO,Josh Jackson
5,SAC,De'Aaron Fox
6,ORL,Jonathan Isaac
7,MIN,Lauri Markkanen
8,NYK,Frank Ntilikina
9,DAL,Dennis Smith Jr.
10,SAC,Zach Collins
11,CHO,Malik Monk
12,DET,Luke Kennard
13,DEN,Donovan Mitchell
14,MIA,Bam Adebayo
15,POR,Justin Jackson
16,CHI,Justin Patton
17,MIL,D.J. Wilson
18,IND,T.J. Leaf
19,ATL,John Collins
20,POR,Harry Giles
21,OKC,Terrance Ferguson
22,BRK,Jarrett Allen
23,TOR,OG Anunoby
24,UTA,Tyler Lydon
25,ORL,Anžejs Pasečņiks
26,POR,Caleb Swanigan
27,BRK,Kyle Kuzma
28,LAL,Tony Bradley
29,SAS,Derrick White
30,UTA,Josh Hart
31,CHO,Frank Jackson
32,PHO,Davon Reed
33,ORL,Wesley Iwundu
34,SAC,Frank Mason III
35,ORL,Ivan Rabb
36,PHI,Jonah Bolden
37,BOS,Semi Ojeleye
38,CHI,Jordan Bell
39,PHI,Jawun Evans
40,NOP,Dwayne Bacon
41,ATL,Tyler Dorsey
42,UTA,Thomas Bryant
43,HOU,Isaiah Hartenstein
44,NYK,Damyean Dotson
45,HOU,Dillon Brooks
46,PHI,Sterling Brown
47,IND,Ike Anigbogu
48,MIL,Sindarius Thornwell
49,DEN,Vlatko Čančar
50,PHI,Mathias Lessort
51,DEN,Monte Morris
52,NOP,Edmond Sumner
53,BOS,Kadeem Allen
54,PHO,Alec Peters
55,UTA,Nigel Williams-Goss
56,BOS,Jabari Bird
57,BRK,Sasha Vezenkov
58,NYK,Ognjen Jaramaz
59,SAS,Jaron Blossomgame
60,ATL,Alpha Kaba
