Pk,Tm,Player
1,NOP,Zion Williamson
2,MEM,Ja Morant
3,NYK,RJ Barrett
4,LAL,De'Andre Hunter
5,CLE,Darius Garland
6,PHO,Jarrett Culver
7,CHI,Coby White
8,ATL,Jaxson Hayes
9,WAS,Rui Hachimura
10,ATL,Cam Reddish
11,MIN,Cameron Johnson
12,CHO,P.J. Washington
13,MIA,Tyler Herro
14,BOS,Romeo Langford
15,DET,Sekou Doumbouya
16,ORL,Chuma Okeke
17,BRK,Nickeil Alexander-Walker
18,IND,Goga Bitadze
19,SAS,Luka Šamanić
20,BOS,Matisse Thybulle
21,OKC,Brandon Clarke
22,BOS,Grant Williams
23,UTA,Darius Bazley
24,PHI,Ty Jerome
25,POR,Nassir Little
26,CLE,Dylan Windler
27,BRK,Mfiondu Kabengele
28,GSW,Jordan Poole
29,SAS,Keldon Johnson
30,MIL,Kevin Porter Jr.
31,BRK,Nicolas Claxton
32,PHO,KZ Okpala
33,PHI,Carsen Edwards
34,PHI,Bruno Fernando
35,ATL,Didi Louzada
36,CHO,Cody Martin
37,DAL,Deividas Sirvydis
38,CHI,Daniel Gafford
39,NOP,Alen Smailagić
40,SAC,Justin James
41,GSW,Eric Paschall
42,PHI,Admiral Schofield
43,MIN,Jaylen Nowell
44,MIA,Bol Bol
45,DET,Isaiah Roby
46,ORL,Talen Horton-Tucker
47,SAC,Ignas Brazdeikis
48,LAC,Terance Mann
49,SAS,Quinndary Weatherspoon
50,IND,Jarrell Brantley
51,BOS,Tremont Waters
52,CHO,Jalen McDaniels
53,UTA,Justin Wright-Foreman
54,PHI,Marial Shayok
55,NYK,Kyle Guy
56,LAC,Jaylen Hands
57,NOP,Jordan Bone
58,GSW,Miye Oni
59,TOR,Dewan Hernandez
60,SAC,Vanja Marinković
