Pk,Tm,Player
1,MIN,Anthony Edwards
2,GSW,James Wiseman
3,CHO,LaMelo Ball
4,CHI,Patrick Williams
5,CLE,Isaac Okoro
6,ATL,Onyeka Okongwu
7,DET,Killian Hayes
8,NYK,Obi Toppin
9,WAS,Deni Avdija
10,PHO,Jalen Smith
11,SAS,Devin Vassell
12,SAC,Tyrese Haliburton
13,NOP,Kira Lewis Jr.
14,BOS,Aaron Nesmith
15,ORL,Cole Anthony
16,POR,Isaiah Stewart
17,MIN,Aleksej Pokusevski
18,DAL,Josh Green
19,BRK,Saddiq Bey
20,MIA,Precious Achiuwa
21,PHI,Tyrese Maxey
22,DEN,Zeke Nnaji
23,NYK,Leandro Bolmaro
24,MIL,R.J. Hampton
25,OKC,Immanuel Quickley
26,BOS,Payton Pritchard
27,UTA,Udoka Azubuike
28,LAL,Jaden McDaniels
29,TOR,Malachi Flynn
30,BOS,Desmond Bane
31,DAL,Tyrell Terry
32,CHO,Vernon Carey Jr.
33,MIN,Daniel Oturu
34,PHI,Théo Maledon
35,SAC,Xavier Tillman Sr.
36,PHI,Tyler Bey
37,WAS,Vit Krejci
38,UTA,Saben Lee
39,NOP,Elijah Hughes
40,MEM,Robert Woodard
41,SAS,Tre Jones
42,NOP,Nick Richards
43,SAC,Jahmi'us Ramsey
44,CHI,Marko Simonovic
45,MIL,Jordan Nwora
46,POR,CJ Elleby
47,BOS,Yam Madar
48,GSW,Nico Mannion
49,PHI,Isaiah Joe
50,ATL,Skylar Mays
51,GSW,Justinian Jessup
52,SAC,Kenyon Martin Jr.
53,OKC,Cassius Winston
54,IND,Cassius Stanley
55,BRK,Jay Scrubb
56,CHO,Grant Riller
57,LAC,Reggie Perry
58,PHI,Paul Reed
59,TOR,Jalen Harris
60,NOP,Sam Merrill
