Pk,Tm,Player
1,CLE,Andrew Wiggins
2,MIL,Jabari Parker
3,PHI,Joel Embiid
4,ORL,Aaron Gordon
5,UTA,Dante Exum
6,BOS,Marcus Smart
7,LAL,Julius Randle
8,SAC,Nik Stauskas
9,CHH,Noah Vonleh
10,PHI,Elfrid Payton
11,DEN,Doug McDermott
12,ORL,Dario Šarić
13,MIN,Zach LaVine
14,PHO,T.J. Warren
15,ATL,Adreian Payne
16,CHI,Jusuf Nurkić
17,BOS,James Young
18,PHO,Tyler Ennis
19,CHI,Gary Harris
20,TOR,Bruno Caboclo
21,OKC,Mitch McGary
22,MEM,Jordan Adams
23,UTA,Rodney Hood
24,CHH,Shabazz Napier
25,HOU,Clint Capela
26,MIA,P.J. Hairston
27,PHO,Bogdan Bogdanović
28,LAC,C.J. Wilcox
29,OKC,Josh Huestis
30,SAS,Kyle Anderson
31,MIL,Damien Inglis
32,PHI,K.J. McDaniels
33,CLE,Joe Harris
34,NYK,Cleanthony Early
35,UTA,Jarnell Stokes
36,MIL,Johnny O'Bryant
37,TOR,DeAndre Daniels
38,DET,Spencer Dinwiddie
39,PHI,Jerami Grant
40,MIN,Glenn Robinson III
41,DEN,Nikola Jokić
42,HOU,Nick Johnson
43,ATL,Edy Tavares
44,MIN,Markel Brown
45,CHH,Dwight Powell
46,WAS,Jordan Clarkson
47,PHI,Russ Smith
48,MIL,Lamar Patterson
49,CHI,Cameron Bairstow
50,PHO,Alec Brown
51,NYK,Thanasis Antetokounmpo
52,PHI,Vasilije Micić
53,MIN,Alessandro Gentile
54,PHI,Nemanja Dangubić
55,MIA,Semaj Christon
56,DEN,Devyn Marble
57,IND,Louis Labeyrie
58,SAS,Jordan McRae
59,TOR,Xavier Thames
60,SAS,Cory Jefferson
