Pk,Tm,Player
1,NOH,Anthony Davis
2,CHA,Michael Kidd-Gilchrist
3,WAS,Bradley Beal
4,CLE,Dion Waiters
5,SAC,Thomas Robinson
6,POR,Damian Lillard
7,GSW,Harrison Barnes
8,TOR,Terrence Ross
9,DET,Andre Drummond
10,NOH,Austin Rivers
11,POR,Meyers Leonard
12,HOU,Jeremy Lamb
13,PHO,Kendall Marshall
14,MIL,John Henson
15,PHI,Maurice Harkless
16,HOU,Royce White
17,DAL,Tyler Zeller
18,HOU,Terrence Jones
19,ORL,Andrew Nicholson
20,DEN,Evan Fournier
21,BOS,Jared Sullinger
22,BOS,Fab Melo
23,ATL,John Jenkins
24,CLE,Jared Cunningham
25,MEM,Tony Wroten
26,IND,Miles Plumlee
27,MIA,Arnett Moultrie
28,OKC,Perry Jones
29,CHI,Marquis Teague
30,GSW,Festus Ezeli
31,CHA,Jeff Taylor
32,WAS,Tomáš Satoranský
33,CLE,Bernard James
34,CLE,Jae Crowder
35,GSW,Draymond Green
36,SAC,Orlando Johnson
37,TOR,Quincy Acy
38,DEN,Quincy Miller
39,DET,Khris Middleton
40,POR,Will Barton
41,POR,Tyshawn Taylor
42,MIL,Doron Lamb
43,ATL,Mike Scott
44,DET,Kim English
45,PHI,Justin Hamilton
46,NOH,Darius Miller
47,UTA,Kevin Murphy
48,NYK,Kostas Papanikolaou
49,ORL,Kyle O'Quinn
50,DEN,İzzet Türkyılmaz
51,BOS,Kris Joseph
52,GSW,Ognjen Kuzmić
53,LAC,Furkan Aldemir
54,PHI,Tornike Shengelia
55,DAL,Darius Johnson-Odom
56,TOR,Tomislav Zubčić
57,NJN,İlkan Karaman
58,MIN,Robbie Hummel
59,SAS,Marcus Denmon
60,LAL,Robert Sacre
