Pk,Tm,Player
1,CLE,Anthony Bennett
2,ORL,Victor Oladipo
3,WAS,Otto Porter
4,CHA,Cody Zeller
5,PHO,Alex Len
6,NOH,Nerlens Noel
7,SAC,Ben McLemore
8,DET,Kentavious Caldwell-Pope
9,MIN,Trey Burke
10,POR,CJ McCollum
11,PHI,Michael Carter-Williams
12,OKC,Steven Adams
13,DAL,Kelly Olynyk
14,UTA,Shabazz Muhammad
15,MIL,Giannis Antetokounmpo
16,BOS,Lucas Nogueira
17,ATL,Dennis Schröder
18,ATL,Shane Larkin
19,CLE,Sergey Karasev
20,CHI,Tony Snell
21,UTA,Gorgui Dieng
22,BRK,Mason Plumlee
23,IND,Solomon Hill
24,NYK,Tim Hardaway Jr.
25,LAC,Reggie Bullock
26,MIN,Andre Roberson
27,DEN,Rudy Gobert
28,SAS,Livio Jean-Charles
29,OKC,Archie Goodwin
30,PHO,Nemanja Nedović
31,CLE,Allen Crabbe
32,OKC,Álex Abrines
33,CLE,Carrick Felix
34,HOU,Isaiah Canaan
35,PHI,Glen Rice Jr.
36,SAC,Ray McCallum
37,DET,Tony Mitchell
38,WAS,Nate Wolters
39,POR,Jeff Withey
40,POR,Grant Jerrett
41,MEM,Jamaal Franklin
42,PHI,Pierre Jackson
43,MIL,Ricky Ledo
44,DAL,Mike Muscala
45,POR,Marko Todorović
46,UTA,Erick Green
47,ATL,Raul Neto
48,LAL,Ryan Kelly
49,CHI,Erik Murphy
50,ATL,James Ennis
51,ORL,Romero Osby
52,MIN,Lorenzo Brown
53,IND,Colton Iverson
54,WAS,Arsalan Kazemi
55,MEM,Joffrey Lauvergne
56,DET,Peyton Siva
57,PHO,Alex Oriakhi
58,SAS,Deshaun Thomas
59,MIN,Bojan Dubljević
60,MEM,Jānis Timma
